datamart.socrata.data-bayareametro-gov.h527-iddw,2020-10-24T22:57:53.341842Z
datamart.socrata.data-bayareametro-gov.i4be-6n9j,2020-10-24T22:57:52.763239Z
datamart.socrata.data-bayareametro-gov.srg7-f7nx,2020-10-24T22:57:53.267117Z
datamart.socrata.data-bayareametro-gov.cizf-84fb,2020-10-24T22:57:52.829674Z
datamart.socrata.data-bayareametro-gov.k6cx-uzep,2020-10-24T22:57:53.234610Z
datamart.socrata.data-sfgov-org.qmdj-wtj2,2020-03-30T16:51:39.778084Z
datamart.socrata.data-edmonton-ca.3cvu-pkdw,2020-10-24T22:55:53.452785Z
datamart.socrata.data-cityofnewyork-us.jb3k-j3gp,2023-05-05T01:31:20.661138Z
datamart.socrata.data-sfgov-org.v5uc-gana,2023-05-01T01:34:28.813765Z
datamart.socrata.data-edmonton-ca.f9kp-b6mh,2020-10-24T22:55:53.281901Z
datamart.socrata.data-cityofnewyork-us.2v9c-2k7f,2023-05-05T01:31:21.055878Z
datamart.socrata.data-bayareametro-gov.xcep-e2qd,2023-03-15T01:35:39.099739Z
datamart.socrata.data-bayareametro-gov.uhk5-xynh,2023-03-15T01:35:34.720438Z
datamart.socrata.data-bayareametro-gov.nmtw-k5b6,2023-03-15T01:35:35.294858Z
datamart.socrata.data-bayareametro-gov.jita-nnwk,2023-03-15T01:35:35.738552Z
datamart.socrata.data-bayareametro-gov.hkpi-phpb,2023-03-15T01:35:35.833976Z
datamart.socrata.data-bayareametro-gov.38ji-x4ga,2023-03-15T01:35:36.314206Z
datamart.socrata.data-bayareametro-gov.bdki-qawy,2023-03-15T01:35:36.899709Z
datamart.socrata.data-edmonton-ca.bubm-z6xm,2022-02-28T01:31:48.113619Z
datamart.zenodo.7705072.8cb89191-2806-4b3e-99f6-dc485859bc9a,2023-03-08T00:40:09.671767Z
datamart.socrata.data-edmonton-ca.mp5c-yhng,2020-10-24T22:55:51.845011Z
datamart.socrata.data-sfgov-org.nufj-bfbw,2023-04-14T01:33:52.791666Z
datamart.socrata.data-bts-gov.crem-w557,2023-04-28T01:36:06.618945Z
datamart.socrata.data-kcmo-org.9q2f-atb4,2021-11-15T01:32:29.485426Z
datamart.socrata.data-kcmo-org.2mcy-ub6y,2023-03-27T01:32:52.255805Z
datamart.socrata.data-edmonton-ca.y9sx-n6j7,2020-10-24T22:55:50.875588Z
datamart.zenodo.5779516.9d6567dd-fbc8-4aaa-b729-99fbcd6f35c8,2021-12-15T00:40:12.132796Z
